full_sq,life_sq,material,num_room
57,38,1,3
41,16,6,1
55,36,1,3
32,18,1,1
35,19,5,1
75,46,1,3
61,31,1,2
60,42,1,3
39,20,1,1
38,23,1,2
46,28,1,2
77,45,1,3
73,43,1,3
31,18,2,1
64,44,5,3
35,14,1,1
66,45,1,3
56,35,2,2
41,25,1,2
19,13,1,1
51,30,1,2
88,76,5,1
49,34,1,3
32,19,1,1
83,57,2,4
18,14,2,1
41,27,2,2
32,17,1,1
69,43,2,3
75,44,1,3
37,18,1,1
27,11,1,1
63,63,1,2
47,27,5,2
36,19,1,1
76,45,1,3
32,21,5,1
84,50,6,3
60,29,4,2
65,33,1,2
46,28,2,2
87,58,1,4
38,19,1,1
96,57,4,3
32,18,1,1
38,19,1,1
41,24,2,2
46,27,1,2
37,19,1,1
54,32,1,2
48,31,5,2
31,18,2,1
45,29,1,2
43,28,1,2
47,27,1,2
60,29,5,2
33,21,5,1
45,28,2,2
77,44,2,3
64,46,5,1
53,31,1,2
62,58,1,2
43,18,2,1
63,38,1,2
43,27,1,2
65,44,5,3
29,29,1,1
60,44,1,3
64,46,1,4
74,46,1,3
77,45,1,3
37,18,1,1
42,28,2,2
58,58,1,2
60,44,1,3
38,38,1,1
63,46,1,4
51,51,1,2
44,27,1,2
42,42,1,1
59,43,1,3
32,19,2,1
73,69,1,2
51,30,1,2
60,44,1,3
35,20,5,1
12,8,2,1
37,18,1,1
104,104,1,1
55,30,1,2
51,20,6,1
60,33,1,2
38,20,1,1
56,32,1,2
38,19,1,1
37,37,1,1
50,11,6,1
36,19,5,1
29,18,2,1
62,43,1,3
35,19,1,1
39,18,1,1
82,45,1,3
41,20,1,1
39,20,1,1
37,22,1,2
81,45,1,3
30,16,2,1
60,44,1,3
71,43,1,3
76,44,1,3
45,27,1,2
34,15,1,1
35,19,5,1
32,20,1,1
40,40,1,1
78,78,1,3
52,30,1,2
52,29,1,2
39,23,1,2
51,30,1,2
45,28,1,2
39,18,4,1
54,32,1,2
35,19,2,1
78,51,2,3
72,46,2,3
45,28,5,2
38,19,1,1
42,41,2,2
46,43,1,1
52,31,1,2
52,30,1,2
37,18,1,1
50,32,1,2
62,36,2,2
47,46,2,2
42,41,1,1
66,44,2,3
45,29,1,2
46,30,5,2
58,34,1,2
49,34,1,3
42,17,1,1
28,28,1,1
38,19,1,1
40,18,2,1
51,30,1,2
44,30,5,2
59,34,1,2
30,17,1,1
41,27,1,2
60,60,1,2
61,39,1,3
38,19,1,1
31,18,1,2
58,34,1,2
36,36,1,1
38,19,1,1
44,29,1,2
76,45,1,3
51,51,1,2
79,45,1,3
94,51,1,3
53,30,1,2
94,51,1,3
59,32,1,2
52,30,1,2
30,17,1,1
76,51,1,3
49,33,1,3
45,30,5,2
31,17,1,1
36,19,1,1
31,18,2,1
37,19,1,1
32,20,1,1
51,28,1,2
37,19,1,1
46,30,1,2
31,21,4,1
44,27,1,2
63,63,1,2
44,28,1,2
51,30,1,2
51,30,1,2
32,16,1,1
53,32,1,2
61,56,1,2
39,19,1,1
36,20,2,1
66,28,6,2
53,32,1,2
56,32,2,3
22,14,2,1
52,31,1,2
75,45,1,3
37,19,1,1
40,21,1,1
31,18,5,1
86,86,2,2
55,55,1,2
47,30,1,2
37,37,1,1
53,29,1,2
44,27,1,2
26,12,5,1
43,27,2,2
45,30,5,2
65,64,1,3
56,30,6,2
79,76,4,3
51,40,4,2
44,28,5,2
100,67,2,4
40,38,1,1
68,41,2,3
115,115,4,2
41,37,1,1
44,28,2,2
44,29,1,2
37,22,5,2
46,44,4,1
59,58,1,2
33,14,1,1
116,55,6,3
38,19,1,1
30,18,2,1
73,50,1,3
39,19,1,1
74,41,1,3
17,17,1,2
59,58,1,2
32,20,1,1
48,28,5,2
62,38,1,3
36,14,1,1
74,45,1,3
56,56,4,2
44,29,5,2
45,28,1,2
40,16,2,1
64,44,5,3
43,43,1,1
50,32,2,3
25,15,2,1
83,57,2,3
31,19,2,1
44,42,1,2
42,41,2,2
32,20,1,1
35,19,5,1
78,77,1,3
32,21,1,1
43,43,1,1
30,17,2,1
74,39,1,2
44,27,1,2
103,103,1,3
44,27,1,2
22,22,2,2
39,19,1,1
44,28,2,2
43,27,2,2
53,32,1,2
36,15,4,1
38,20,1,1
44,28,2,2
50,29,1,2
51,30,1,2
37,19,5,1
38,38,4,1
44,28,1,2
117,66,1,4
37,23,1,2
58,35,2,2
57,56,1,3
43,25,5,2
45,26,1,2
29,17,2,1
35,18,1,1
37,19,5,1
39,39,1,1
73,43,1,3
41,21,1,1
71,69,1,2
82,82,1,3
38,21,5,2
65,61,6,2
66,43,1,3
37,18,1,1
75,42,1,3
45,28,1,2
63,30,4,2
46,29,1,2
55,51,1,2
62,31,1,2
54,32,1,2
41,21,1,1
41,27,5,2
38,38,1,1
134,134,5,3
45,30,5,2
42,28,2,1
77,77,1,2
28,14,1,1
61,56,1,2
44,27,1,2
97,45,4,2
77,74,1,3
52,30,1,2
43,29,2,2
36,25,5,2
39,37,4,1
76,45,1,3
37,18,1,1
102,86,1,2
64,33,1,2
63,33,1,2
45,44,2,2
36,18,5,1
42,28,1,2
89,48,2,2
90,54,2,3
41,41,1,1
51,30,1,2
34,19,5,1
49,29,1,2
45,20,4,1
56,36,1,3
54,27,1,2
38,19,1,1
30,18,2,1
74,43,1,3
39,20,1,1
40,18,1,1
38,38,1,1
62,62,4,2
50,34,1,3
60,38,2,2
37,19,2,1
60,34,1,2
76,47,1,3
61,37,1,3
53,27,1,2
43,21,4,1
44,44,1,1
32,21,5,1
41,17,4,1
58,32,1,2
73,45,1,3
48,20,4,1
77,46,1,3
29,29,4,1
53,53,2,2
41,19,4,1
81,42,2,3
61,32,1,2
77,44,1,3
74,74,1,2
94,88,1,4
80,48,1,3
38,20,1,1
60,43,1,3
60,38,2,3
67,46,5,3
62,35,6,2
34,17,2,1
34,34,1,1
45,30,5,2
38,38,1,1
44,28,1,2
35,20,5,1
65,63,1,2
43,27,2,2
116,116,4,3
47,47,1,1
78,44,1,3
85,52,2,3
37,19,1,1
47,30,1,2
45,42,1,1
33,17,1,1
56,56,1,2
52,46,1,1
54,32,2,2
38,19,1,1
32,18,2,1
30,18,2,1
74,45,1,3
32,19,1,1
60,34,1,2
39,18,1,1
38,23,1,2
47,47,1,1
40,40,1,1
46,30,1,2
59,59,4,2
63,40,2,2
37,19,1,1
72,43,5,3
51,51,1,2
76,41,1,3
32,18,1,1
29,10,1,1
37,37,1,1
52,27,2,2
43,29,1,2
47,31,5,2
33,20,2,2
37,22,1,2
56,31,1,2
42,26,5,2
64,44,2,3
35,19,1,1
61,61,4,2
74,42,6,2
51,30,1,2
32,19,1,1
60,33,1,2
30,18,2,1
66,37,2,2
77,46,1,3
44,30,1,2
34,17,2,1
45,28,1,2
42,28,2,2
