Задача
Имеются данные о 55 подопытных мышах: уровень креатинина (CREA) и уровень триглицеридов (TG). Проверить гипотезу о независимости параметров с использованием критерия Спирмена. Принять уровень значимости 0,1.
CREA	TG
21	1,29
21	1,14
12	1,05
18	1,05
12	0,84
18	0,48
18	1,44
12	1,2
12	0,84
6	0,6
3	0,48
12	1,38
6	1,26
18	1,65
12	1,32
9	0,48
24	2,19
24	1,38
9	1,17
24	1,71
12	0,21
30	1,17
45	0,66
54	0,9
15	1,38
24	1,2
51	1,17
18	0,87
18	1,2
54	0,96
21	1,38
12	1,83
15	1,53
6	1,02
6	1,32
15	1,23
18	1,05
3	1,47
12	1,35
18	0,93
9	0,06
12	0,03
12	0,42
18	1,38
12	0,45
18	0,09
21	0,87
15	0,96
9	0,96
15	0,93
15	1,38
9	0,3
6	0,39
18	0,33
3	0,33

Данные в формате Python: 
CREA: [21.0, 21.0, 12.0, 18.0, 12.0, 18.0, 18.0, 12.0, 12.0, 6.0, 3.0, 12.0, 6.0, 18.0, 12.0, 9.0, 24.0, 24.0, 9.0, 24.0, 12.0, 30.0, 45.0, 54.0, 15.0, 24.0, 51.0, 18.0, 18.0, 54.0, 21.0, 12.0, 15.0, 6.0, 6.0, 15.0, 18.0, 3.0, 12.0, 18.0, 9.0, 12.0, 12.0, 18.0, 12.0, 18.0, 21.0, 15.0, 9.0, 15.0, 15.0, 9.0, 6.0, 18.0, 3.0]
TRIG: [1.29, 1.14, 1.05, 1.05, 0.84, 0.48, 1.44, 1.2, 0.84, 0.6, 0.48, 1.38, 1.26, 1.65, 1.32, 0.48, 2.19, 1.38, 1.17, 1.71, 0.21, 1.17, 0.66, 0.9, 1.38, 1.2, 1.17, 0.87, 1.2, 0.96, 1.38, 1.83, 1.53, 1.02, 1.32, 1.23, 1.05, 1.47, 1.35, 0.93, 0.06, 0.03, 0.42, 1.38, 0.45, 0.09, 0.87, 0.96, 0.96, 0.93, 1.38, 0.3, 0.39, 0.33, 0.33]
