Задача
Имеются данные о 30 студентах некоторого университета. Необходимо проверить критерием Хи-квадрат наличие следующих зависимостей: 
­	Пол – Специализация
­	Специализация – Средний балл
­	Средний балл – Стипендия.
Найти силу связи мерами Пирсона и Крамера и охарактеризовать ее для всех достоверных зависимостей.
Пол	Специализация	Средний балл	Стипендия
Мужской	Математика	58	0
Мужской	Программирование	72	0
Мужской	Математика	63	0
Мужской	Математика	54	0
Мужской	Математика	76	0
Мужской	Программирование	74	0
Мужской	Математика	69	0
Мужской	Математика	62	0
Женский	Экономика	75	0
Женский	Математика	62	0
Женский	Экономика	85	0
Женский	Математика	76	0
Мужской	Экономика	85	1350
Мужской	Программирование	79	1350
Мужской	Программирование	74	1350
Мужской	Юриспруденция	82	1350
Женский	Экономика	81	1350
Женский	Юриспруденция	86	1350
Женский	Юриспруденция	84	1350
Женский	Экономика	86	1350
Женский	Экономика	78	1350
Женский	Программирование	74	1350
Женский	Юриспруденция	88	1350
Мужской	Юриспруденция	92	1850
Мужской	Программирование	93	1850
Мужской	Экономика	85	1850
Мужской	Программирование	91	1850
Женский	Юриспруденция	95	1850
Женский	Экономика	93	1850
Женский	Юриспруденция	92	1850

