Задача
Имеются данные о 66 подопытных мышах: уровень креатинина (CREA) и возраст в неделях (Age). Проверить гипотезу о независимости параметров с использованием критерия Кендалла. Принять уровень значимости 0,05.
CREA	Age
12	9,1
9	9,8
12	9,8
18	9,9
15	9,9
18	9,9
12	9,9
21	10,1
15	10,1
54	10,9
18	10,9
51	10,9
15	11,2
18	11,2
6	11,4
27	11,4
42	11,4
30	12,7
18	12,9
3	13,9
24	15,8
0	15,8
21	16,7
12	16,7
18	17
3	18,9
12	8,9
6	9
18	9
18	9,1
15	9,1
18	9,8
9	9,8
3	9,8
21	9,9
15	10,6
24	10,9
21	11,2
6	11,4
12	11,4
54	12,1
24	12,7
45	12,7
9	12,7
12	13
18	13,9
15	13,9
6	13,9
6	15
9	15
24	15,8
18	15,8
12	15,8
12	16,7
21	16,7
12	16,7
6	16,8
9	16,8
18	17
6	18,7
18	18,9
0	18,9
12	18,9
9	18,9
12	19
3	19

