Задача
Имеются данные о 60 подопытных мышах: уровень креатинина (CREA) и уровень триглицеридов (TG). Проверить гипотезу о независимости параметров с использованием критерия Спирмена. Принять уровень значимости 0,05.
CREA	TG
21	1,29
21	1,14
12	1,05
18	1,05
12	0,84
18	0,48
18	1,44
12	1,2
12	0,84
6	0,6
3	1,11
3	0,48
12	1,38
6	1,26
18	1,65
12	1,32
9	0,48
24	2,19
24	1,38
9	1,17
24	1,71
12	0,21
30	1,17
18	1,11
45	0,66
54	0,9
15	1,38
24	1,2
51	1,17
18	0,87
18	1,2
54	0,96
27	1,47
21	1,38
12	1,83
15	1,53
6	1,02
6	1,32
15	1,23
18	1,05
3	1,47
12	1,35
18	0,93
9	0,06
12	0,03
12	0,42
18	1,77
18	1,38
12	0,45
18	0,09
21	0,87
15	0,96
9	0,96
15	0,93
15	1,38
9	0,3
6	0,39
6	0,12
18	0,33
3	0,33


