x,y
9,134
13,142
32,187
42,210
82,204
59,218
36,164
124,243
-62,54
67,194
-27,79
-6,128
109,267
11,123
17,163
13,137
13,177
4,151
12,116
52,210
13,136
-36,81
55,148
79,214
8,116
107,230
-41,138
13,152
61,211
0,116
34,163
115,257
133,299
89,195
51,194
70,184
-13,69
81,221
89,208
-68,67
25,128
62,226
29,176
67,211
101,183
40,191
62,238
-9,150
118,269
-136,-23
-89,-20
19,226
84,218
-3,121
39,194
33,152
65,220
-30,125
60,223
36,182
52,189
80,244
12,168
-1,143
21,167
11,84
-36,23
89,194
-59,117
-2,129
88,185
32,133
-60,26
0,195
-10,130
160,271
98,201
-32,136
13,143
69,165
-22,105
18,196
-17,85
-29,53
-1,122
8,135
-3,111
-29,91
107,291
43,179
-97,28
-14,149
112,261
22,125
19,179
60,174
-25,95
-7,92
101,275
19,133
65,185
-41,95
26,185
-34,86
33,189
59,292
20,127
23,152
92,257
103,272
66,155
29,212
45,139
47,184
-65,75
69,189
15,91
41,126
81,153
32,149
-38,95
85,173
91,194
89,190
91,208
-40,69
51,141
59,182
5,140
27,170
50,160
20,125
12,132
-7,114
84,174
110,232
60,234
25,150
84,206
47,180
0,94
53,172
78,191
80,264
48,195
-27,68
-12,166
-27,70
1,185
-22,122
8,106
22,139
49,158
12,177
18,180
21,122
62,185
-69,108
110,271
16,136
1,168
24,133
15,105
-28,40
52,183
125,191
108,284
-38,81
111,212
-8,138
-29,125
18,155
96,201
-17,102
-26,95
19,153
-41,64
44,161
126,292
-4,126
40,127
-17,103
-25,34
-28,118
30,181
35,134
-10,148
90,216
50,176
85,149
14,179
0,141
24,181
46,193
110,209
-4,97
-1,72
132,248
51,190
42,132
